scheme_name,category,benefit,land_requirement,crop_requirement,income_limit,state,documents,application_link
PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Agriculture - Income Support,Rs. 6000/year in 3 installments of Rs. 2000 each transferred directly to bank account,Must own cultivable land (landholding farmer); tenant farmers not eligible,No specific crop requirement,Excluded: institutional landholders; income tax payers; constitutional post holders,Tamil Nadu (Central Scheme applicable in TN),"Aadhaar card, Land records/Patta, Bank passbook, Mobile number",https://pmkisan.gov.in
PM Fasal Bima Yojana (PMFBY),Agriculture - Crop Insurance,"Insurance coverage against crop loss due to natural calamities, pests & diseases; sum insured based on scale of finance",Farmers with insurable interest in notified crops in notified areas,"Notified crops (Paddy, Maize, Groundnut, Cotton, Sugarcane etc.) in Tamil Nadu","No income limit; compulsory for loanee farmers, voluntary for others",Tamil Nadu (Central Scheme applicable in TN),"Aadhaar, Land record/Patta, Bank passbook, Crop sowing certificate, Loan passbook (if loanee)",https://pmfby.gov.in
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Agriculture - Irrigation,"Subsidy on micro-irrigation equipment (drip/sprinkler up to 55% for small/marginal farmers, 45% for others)",Own or leased agricultural land,All crops suitable for drip/sprinkler irrigation,No income limit; priority to small & marginal farmers (land ≤ 2 ha),Tamil Nadu (Central + State),"Aadhaar, Patta/land document, Bank passbook, Caste certificate (if SC/ST)",https://pmksy.gov.in
Tamil Nadu Agricultural Labourers Welfare Scheme (TNAL),Agriculture - Labour Welfare,"Pension, financial assistance for marriage, death, education, maternity and accident",Not applicable (agricultural labourers),Not applicable,Income below poverty line; registered agricultural labourer,Tamil Nadu,"Aadhaar, Ration card, Labour registration certificate, Bank passbook, Caste certificate",https://www.tn.gov.in
Chief Minister's Farmer Security Scheme (CMFSS) / Uzhavar Padhukappu Thittam,Agriculture - Insurance,Rs. 2 lakh accident death/disability insurance cover to farmers,Must be a registered farmer in Tamil Nadu,Not required,No income limit; farmer must be registered with Agriculture Department,Tamil Nadu,"Aadhaar, Patta/Chitta, Bank passbook, Farmer registration certificate",https://agri.tn.gov.in
Tamil Nadu Crop Loan Waiver Scheme,Agriculture - Debt Relief,Waiver of crop loans up to Rs. 1 lakh for small and marginal farmers,Small and marginal farmers (land up to 2.5 acres wet / 5 acres dry),Any crop,No separate income limit; restricted to small/marginal landholders,Tamil Nadu,"Aadhaar, Patta, Kisan Credit Card / loan passbook, Bank passbook",https://www.tn.gov.in
Kisan Credit Card (KCC) Scheme,Agriculture - Credit,Short-term crop loans at subsidised interest rate (4% effective after subvention); credit limit based on crop & land,Farmers with own or leased cultivable land,All crops; also covers post-harvest & allied activities,No income limit,Tamil Nadu (National scheme via banks in TN),"Aadhaar, Patta/land document, Bank account, Passport photo",https://www.nabard.org
Free/Subsidised Distribution of Seeds (TNAU Certified Seeds),Agriculture - Input Subsidy,"50% subsidy on certified seeds of paddy, pulses, oilseeds, millets through TNAU & TNSSC",Agricultural land in Tamil Nadu,"Paddy, Pulses, Oilseeds, Millets",Preference to small/marginal farmers; no strict income ceiling,Tamil Nadu,"Aadhaar, Patta/Chitta, Farmer ID, Bank passbook",https://agri.tn.gov.in
Agricultural Mechanisation Scheme (Custom Hiring Centres / Farm Machinery),Agriculture - Mechanisation,50% subsidy (up to 40% for others) on farm machinery; CHC establishment subsidy up to Rs. 10 lakh,Agricultural land in Tamil Nadu,All crops,Preference to small/marginal farmers; FPOs eligible for higher subsidy,Tamil Nadu (Central + State),"Aadhaar, Patta, Bank passbook, Quotation of machinery, Caste certificate (if applicable)",https://agrimachinery.nic.in
Soil Health Card Scheme,Agriculture - Soil Testing,Free Soil Health Card with crop-wise nutrient recommendations; subsidised soil amendments supply,All agricultural land in Tamil Nadu,All crops,No income limit,Tamil Nadu (Central Scheme in TN),"Aadhaar, Patta, Land record",https://soilhealth.dac.gov.in
National Food Security Mission (NFSM) - Tamil Nadu,Agriculture - Production Support,"Demonstration support, seed distribution, micro-nutrient supply, plant protection equipment subsidies",Farmers in NFSM notified districts of Tamil Nadu,"Paddy, Wheat, Pulses, Oilseeds, Nutri-Cereals",No income limit; preference to small/marginal farmers,Tamil Nadu,"Aadhaar, Patta, Bank passbook, Farmer registration",https://nfsm.gov.in
Tamil Nadu Horticulture Development Scheme (TANHODA),Agriculture - Horticulture,"Subsidy on planting material, drip irrigation, poly house, cold storage and post-harvest infrastructure (25–50% subsidy)",Min. 0.1 ha for vegetables/flowers; higher for orchards,"Fruits, Vegetables, Flowers, Spices",No income limit; small/marginal farmers get priority,Tamil Nadu,"Aadhaar, Patta, Bank passbook, Project proposal, Caste certificate",https://www.tanhoda.tn.gov.in
